kind,hero_a,hero_b,role_a,role_b,n_cooccur,effect_pp,se_pp,z,p_raw,is_teamup,q
counter,Ultron,Black Widow,Support,Damage,3256,-4.822042125946854,1.011742829991983,-4.766074918450436,1.8784943436581785e-06,False,0.0001959351274102596
counter,Ultron,White Fox,Support,Support,4228,4.683119426284852,0.9916813488638232,4.722403453135765,2.330737413698676e-06,False,0.00022365756221852495
counter,Deadpool (Duelist),Deadpool (Strategist),Damage,Support,3133,3.866118362998837,1.0718962777579546,3.606802675987878,0.0003099932149639474,False,0.01219137250325426
counter,Squirrel Girl,Venom,Damage,Tank,3421,-3.7773309863172075,0.9728093635892433,-3.882909774203344,0.00010321387425440489,False,0.004855099692868967
counter,Black Panther,Thor,Damage,Tank,5728,-3.6679323455821007,0.816100122657067,-4.494463661688973,6.974551180191789e-06,False,0.0005420081704810899
counter,Storm,Iron Fist,Damage,Damage,3986,3.5674774080707508,0.8965759955696232,3.9790016972339517,6.920524697982109e-05,False,0.0035324125000976763
counter,Phoenix,Elsa Bloodstone,Damage,Damage,3859,3.341100472628114,0.905893268096815,3.688183354808905,0.00022586087419168053,False,0.009505969073435818
counter,Iron Man,Spider-man,Damage,Damage,6082,-3.3081907190087607,0.7399130711778336,-4.47105321945807,7.783532440626548e-06,False,0.0005658392219716087
counter,Moon Knight,Psylocke,Damage,Damage,2567,-3.1759465002573184,1.0589368005429305,-2.999184180424148,0.002707036096067624,False,0.050342477476482406
counter,Black Widow,Iron Man,Damage,Damage,4090,3.175082007105196,0.8770365885562943,3.6202389370456665,0.0002943310893767447,False,0.01176833805691351
counter,Psylocke,Black Cat,Damage,Damage,2764,-3.090634067698013,1.0396591522187448,-2.9727378065227117,0.002951564659039698,False,0.053239124940122076
counter,Thor,Peni Parker,Tank,Tank,3726,-3.082740630410862,0.9835246051895576,-3.1343807914360373,0.0017221721188425737,False,0.035311888146182344
counter,Ultron,Daredevil,Support,Damage,3035,-3.069490572789195,1.0483577322521045,-2.927903785471443,0.0034125562932140795,False,0.057249808023920115
counter,Wolverine,White Fox,Damage,Support,3959,-2.9665194721647627,0.9316745588286481,-3.1840726400154495,0.0014521856567415918,False,0.03346703319803184
counter,Hulk,Peni Parker,Tank,Tank,3484,-2.9471429792792923,1.0016022443244925,-2.9424284899310753,0.0032564898722417745,False,0.05540651917381573
counter,Magik,Devil Dinosaur,Damage,Tank,11037,2.9321698552816895,0.6416069999334426,4.5700403137525925,4.876304035173466e-06,False,0.00040338804759934983
counter,Angela,Gambit,Tank,Support,9187,-2.9113961986903854,0.7879468967368701,-3.6949142267675277,0.00021996102833903765,False,0.009422973339024131
counter,Hela,Ultron,Damage,Support,4310,2.841564983308416,0.9041749122934626,3.1427160217271615,0.0016738814842143822,False,0.03491862330982872
counter,Hawkeye,Black Panther,Damage,Damage,2613,-2.827702475042288,1.0504935743362098,-2.6917846468780815,0.007107082076497445,False,0.09687437444043961
counter,Moon Knight,Peni Parker,Damage,Tank,2706,2.8233325086751178,1.0745917871290176,2.6273535146013014,0.008605188315344145,False,0.10814200805181895
counter,Human Torch,Black Cat,Damage,Damage,3175,-2.807500765780085,0.9803564077556112,-2.8637552053211595,0.00418651415222421,False,0.06740568759185155
