teamup_id,name,effect_logodds,effect_pp,std_error,anchor,partner
1032001,SQUIRREL MISSILE,0.3465223426622639,8.663058566556597,0.0385960228954485,Squirrel Girl,Iron Man
1044001,BLADE OF KHONSHU,0.332090258157152,8.3022564539288,0.0340337342010334,Blade,Moon Knight
1065001,MR. & MRS. X,0.2781896597327833,6.954741493319585,0.0188845823425895,Rogue,Gambit
1046002,FLAWLESS DESIGN,0.2728795243363033,6.821988108407584,0.0307166188785391,Adam Warlock,Ultron
1052001,KUMIHO PALM,0.2644496347147851,6.611240867869629,0.0199176344138153,Iron Fist,White Fox
1020001,STAR BLOSSOM,0.1709430029088763,4.273575072721909,0.0201059055025848,Mantis,Star-lord
1014001,AMMO OVERLOAD,0.1653245111284361,4.133112778210904,0.0168826481244511,The Punisher,Rocket Raccoon
1015002,JAWS OF FATE,0.1545111069422388,3.8627776735559705,0.0266646166660213,Storm,Jeff The Land Shark
1017001,FIERY SPARKS,0.1485472402089322,3.7136810052233074,0.0187508157961806,Human Torch,Jubilee
1016001,VIBRANT VITALITY,0.1410334077157976,3.525835192894941,0.0266679618570791,Loki,Mantis
1018001,GAMMA MAELSTROM,0.1389743656289336,3.4743591407233416,0.024108375319087,Doctor Strange,Hulk
1029002,VOID PENTAGRAM,0.1343361548105524,3.3584038702638104,0.0117925419223448,Magik,The Hood
1046001,COSMIC CYCLONE,0.1312146767044826,3.2803669176120653,0.0459533467629016,Adam Warlock,Storm
1031001,ATLAS BOND,0.1275745265842598,3.189363164606496,0.0178930047971129,Luna Snow,White Fox
1042002,ROCKET NETWORK,0.1221481057008075,3.053702642520189,0.021711266096238,Peni Parker,Rocket Raccoon
1063001,SLIM AND RED,0.111645843287643,2.791146082191077,0.0256255413713549,Cyclops,Phoenix
1020002,VITALITY PACT,0.1103272087318795,2.7581802182969897,0.0332202011099176,Mantis,Adam Warlock
1025001,OBLIVION SHROUD,0.1040871997715131,2.602179994287829,0.0093337098350052,Cloak & Dagger,The Hood
1018002,PSIONIC VORTEX,0.1033509626228004,2.5837740655700108,0.0130555431134819,Doctor Strange,Invisible Woman
1038002,HEX FIREWORKS,0.0987626233523045,2.4690655838076148,0.0204006213407707,Scarlet Witch,Jubilee
1064001,HELLFIRE SPARKS,0.0985581678422421,2.463954196056054,0.0094280110764024,Jubilee,The Hood
1033002,BURNING BULLETS,0.0974543339866505,2.4363583496662637,0.0343687115667309,Black Widow,Phoenix
1011001,SAVAGE SLAM,0.0954169756226517,2.385424390566293,0.039921417438064,Hulk,Captain America
1021002,SENBONZAKURA STRIKE,0.0939188249815022,2.347970624537555,0.0362614194170601,Hawkeye,Psylocke
1032002,ESU ALUMNUS,0.0869550698877554,2.1738767471938854,0.0383463457372981,Squirrel Girl,Spider-man
1028002,SP//DR SYNC,0.0845682593190162,2.114206482975406,0.0428801846598378,Ultron,Peni Parker
1036002,PARKER POWER-UP,0.0808908870326293,2.0222721758157345,0.0285518245837927,Spider-man,Peni Parker
1041002,EXPERT INSTINCT,0.0798414901700466,1.9960372542511653,0.0176949747176701,Winter Soldier,Elsa Bloodstone
1054001,CIRCLE OF LIFE,0.0791288820343088,1.9782220508577215,0.0323236233890766,Phoenix,Hela
1030001,LUMINOUS MOON,0.0787053867392814,1.967634668482035,0.0186051358931167,Moon Knight,Cloak & Dagger
1043002,STAR-SOUL,0.0778059575837161,1.9451489395929027,0.0475958285218569,Star-lord,Adam Warlock
1034002,THUNDER OVERDRIVE,0.0748427004401005,1.8710675110025132,0.0275202883863089,Iron Man,Thor
1038001,SORCERERS SUPREME,0.0740082195361076,1.8502054884026915,0.0251142011716887,Scarlet Witch,Doctor Strange
1027001,WILD WALL,0.0734246390244522,1.8356159756113068,0.0213956628392178,Groot,Mantis
1060001,LUCKY LOAN,0.0709206957938942,1.7730173948473558,0.023461216865643,White Fox,Black Cat
1026001,DAMISA-YAO,0.0706350632114964,1.7658765802874117,0.0398541764056926,Black Panther,Storm
1024001,HEL TENDRILS,0.0695458348051274,1.7386458701281864,0.0220900430635599,Hela,Venom
1039001,RAGNAROK REBIRTH,0.0684523965320456,1.711309913301141,0.0220911998011052,Thor,Hela
1035002,ABYSSAL FLAMES,0.0669321006854263,1.6733025171356584,0.0238280039922852,Venom,Phoenix
1040001,FANTASTIC AMPLIFIER,0.0646555430870542,1.6163885771763566,0.0236324262887777,Mister Fantastic,Rocket Raccoon
