shape,tanks,teams,winrate
2-2-2,2,723226,53.528495933497965
1-3-2,1,92111,42.20234282550401
2-1-3,2,57549,40.4403204225964
1-2-3,1,38473,35.086944090660985
3-1-2,3,30698,42.188416183464724
2-3-1,2,7866,27.72692601067887
3-2-1,3,3153,26.51443070091976
3-0-3,3,1758,40.21615472127418
1-4-1,1,1736,20.506912442396313
0-4-2,0,1558,21.630295250320923
0-3-3,0,1051,17.221693625118935
1-1-4,1,1016,19.88188976377953
2-0-4,2,407,23.095823095823096
4-0-2,4,278,36.330935251798564
0-5-1,0,171,12.865497076023392
2-4-0,2,144,4.861111111111112
0-2-4,0,144,15.972222222222221
4-1-1,4,127,33.07086614173229
1-5-0,1,85,7.0588235294117645
0-6-0,0,48,12.5
3-3-0,3,40,15.0
1-0-5,1,20,40.0
5-0-1,5,13,53.84615384615385
0-1-5,0,13,38.46153846153847
0-0-6,0,7,28.57142857142857
4-2-0,4,4,25.0
5-1-0,5,1,0.0
