hero_id,week,size,mean,name
1011,0,25547,0.5069871217755509,Hulk
1011,1,22498,0.5059560849853321,Hulk
1011,2,17300,0.5006936416184972,Hulk
1011,3,11391,0.5066280396804494,Hulk
1011,4,3678,0.4964654703643284,Hulk
1014,0,24851,0.48911512615186514,The Punisher
1014,1,21115,0.4917357328913095,The Punisher
1014,2,15569,0.4878283769028197,The Punisher
1014,3,9899,0.4918678654409536,The Punisher
1014,4,2947,0.48082796063793687,The Punisher
1015,0,13863,0.5188631609319772,Storm
1015,1,13715,0.5196500182282173,Storm
1015,2,9593,0.527884916084645,Storm
1015,3,5707,0.5177851760995269,Storm
1015,4,1735,0.5227665706051873,Storm
1016,0,15627,0.5189095795738146,Loki
1016,1,13707,0.5110527467717225,Loki
1016,2,9876,0.5178209801539084,Loki
1016,3,6647,0.5190311418685121,Loki
1016,4,1912,0.5350418410041841,Loki
1017,0,16274,0.5025808037360207,Human Torch
1017,1,15206,0.5073655136130475,Human Torch
1017,2,12351,0.4970447737025342,Human Torch
1017,3,8466,0.5074415308291992,Human Torch
1017,4,2689,0.528821123094087,Human Torch
1018,0,42462,0.501295275775988,Doctor Strange
1018,1,37713,0.4931190836051229,Doctor Strange
1018,2,28781,0.4935547757200931,Doctor Strange
1018,3,19097,0.4884536838246845,Doctor Strange
1018,4,5831,0.47950608814954554,Doctor Strange
1020,0,43713,0.5575458101708873,Mantis
1020,1,41008,0.5581349980491611,Mantis
1020,2,32044,0.5557046560978655,Mantis
1020,3,22479,0.5578539970639264,Mantis
1020,4,7161,0.5543918447144254,Mantis
1021,0,13561,0.48005309342968805,Hawkeye
1021,1,11004,0.47446383133406034,Hawkeye
1021,2,8024,0.4864157527417747,Hawkeye
1021,3,5561,0.49469519870526885,Hawkeye
1021,4,1638,0.4694749694749695,Hawkeye
1022,0,10809,0.4916273475807198,Captain America
1022,1,9695,0.48468282619907166,Captain America
1022,2,6627,0.47925154670288217,Captain America
1022,3,4289,0.48379575658661694,Captain America
1022,4,1472,0.48165760869565216,Captain America
1023,0,66896,0.5327523319779957,Rocket Raccoon
1023,1,55210,0.5351204491939866,Rocket Raccoon
1023,2,40686,0.5343607137590326,Rocket Raccoon
1023,3,25658,0.5365967729363161,Rocket Raccoon
1023,4,7978,0.5273251441464026,Rocket Raccoon
1024,0,34440,0.5045586527293844,Hela
1024,1,30525,0.4952006552006552,Hela
1024,2,23221,0.5019163688040997,Hela
1024,3,16256,0.49421751968503935,Hela
1024,4,5111,0.4830757190373704,Hela
1025,0,105728,0.5078030417675545,Cloak & Dagger
1025,1,88620,0.5051342812006319,Cloak & Dagger
1025,2,66874,0.5030505129048659,Cloak & Dagger
1025,3,42674,0.5023199137648217,Cloak & Dagger
1025,4,13006,0.49730893433799783,Cloak & Dagger
1026,0,20171,0.48247484011699965,Black Panther
1026,1,18101,0.48599524888127726,Black Panther
1026,2,13849,0.4869665679832479,Black Panther
1026,3,9746,0.48132567207059307,Black Panther
1026,4,3064,0.48368146214099217,Black Panther
1027,0,18443,0.49487610475519167,Groot
1027,1,16463,0.49747919577233796,Groot
1027,2,12504,0.49864043506078054,Groot
1027,3,8414,0.4926313287378179,Groot
1027,4,2437,0.4952810832991383,Groot
1028,0,12770,0.5317932654659357,Ultron
1028,1,10512,0.533009893455099,Ultron
1028,2,7834,0.5377840183814143,Ultron
1028,3,5313,0.5375494071146245,Ultron
1028,4,2618,0.5278838808250573,Ultron
1029,0,51180,0.5344665885111372,Magik
1029,1,45336,0.5293806246691372,Magik
1029,2,30125,0.527402489626556,Magik
1029,3,19056,0.5312237615449202,Magik
1029,4,5943,0.5332323742217735,Magik
1030,0,17632,0.5047073502722323,Moon Knight
1030,1,14630,0.5055365686944634,Moon Knight
1030,2,11522,0.4989585141468495,Moon Knight
1030,3,7890,0.5034220532319391,Moon Knight
1030,4,2508,0.49122807017543857,Moon Knight
1031,0,63336,0.4717222432739674,Luna Snow
1031,1,54780,0.4804490690032859,Luna Snow
1031,2,41354,0.47037771436862214,Luna Snow
1031,3,27752,0.475785528970885,Luna Snow
1031,4,8204,0.4687957094100439,Luna Snow
1032,0,11219,0.4510205900704163,Squirrel Girl
1032,1,8740,0.4562929061784897,Squirrel Girl
1032,2,6509,0.46520202796128435,Squirrel Girl
1032,3,4261,0.47477118047406713,Squirrel Girl
1032,4,1253,0.47166799680766164,Squirrel Girl
1033,0,27162,0.4881083867167366,Black Widow
1033,1,23151,0.48844542352382186,Black Widow
1033,2,17342,0.4875446891938646,Black Widow
1033,3,11861,0.4940561504089031,Black Widow
1033,4,3749,0.4945318751667111,Black Widow
1034,0,16722,0.5059801459155603,Iron Man
1034,1,13586,0.5108199617253054,Iron Man
1034,2,10412,0.5028812908182866,Iron Man
1034,3,6843,0.5034341663013299,Iron Man
1034,4,2194,0.5214220601640839,Iron Man
1035,0,31889,0.48581015397158894,Venom
1035,1,29103,0.4843486925746487,Venom
1035,2,22473,0.4877408445690384,Venom
1035,3,14612,0.4879551053928278,Venom
1035,4,4596,0.48672758920800696,Venom
1036,0,46151,0.4932720851119152,Spider-man
1036,1,39200,0.48885204081632655,Spider-man
1036,2,29475,0.4939779474130619,Spider-man
1036,3,19763,0.48919698426352276,Spider-man
1036,4,6195,0.4994350282485876,Spider-man
1037,0,120857,0.5062180924563741,Magneto
1037,1,112865,0.50704824347672,Magneto
1037,2,87298,0.5058764232857569,Magneto
1037,3,57069,0.5064921410923618,Magneto
1037,4,17746,0.5087907134002029,Magneto
1038,0,17592,0.46947476125511595,Scarlet Witch
1038,1,12883,0.4786928510440115,Scarlet Witch
1038,2,8436,0.4794926505452821,Scarlet Witch
1038,3,5127,0.4690852350302321,Scarlet Witch
1038,4,1510,0.4695364238410596,Scarlet Witch
1039,0,26083,0.5006325959437181,Thor
1039,1,22324,0.5081974556531088,Thor
